trans_id,cust_id,accout,cart_nbr,tranno,month_nbr,bill,trans_type,txn_datetime
1,1,1231,1234897,1,1,50.00,消费,2019-04-17
2,1,1231,1234897,2,2,200.00,消费,2019-04-17
3,1,1231,1234897,3,3,300.00,消费,2019-04-17
4,1,1231,1234897,4,4,550.00,还款,2019-04-17
5,2,1232,1234898,5,1,200.00,消费,2019-04-17
6,2,1232,1234898,6,2,100.00,还款,2019-04-17
7,2,1232,1234898,7,3,300.00,消费,2019-04-17
8,2,1232,1234898,8,4,400.00,还款,2019-04-17
9,3,1233,1234899,10,1,50.00,消费,2019-04-17
10,3,1233,1234899,11,2,50.00,消费,2019-04-17
11,3,1233,1234899,12,3,100.00,消费,2019-04-17
12,3,1233,1234899,13,4,200.00,还款,2019-04-17
13,4,1234,1234891,14,1,1500.00,消费,2019-04-17
14,4,1234,1234891,15,2,600.00,还款,2019-04-17
15,4,1234,1234891,16,3,200.00,还款,2019-04-17
16,4,1234,1234891,17,4,700.00,还款,2019-04-17
17,5,1235,1234892,18,1,1000.00,消费,2019-04-17
18,5,1235,1234892,19,2,1000.00,还款,2019-04-17
19,5,1235,1234892,20,3,2000.00,消费,2019-04-17
20,5,1235,1234892,21,4,2000.00,还款,2019-04-17
